Gene_Symbol,log2FC,P.Value,Gene_Description,Significance
ATP8A2,-3.084904884,0.001909013,ATPase phospholipid transporting 8A2,Down
AHCY,1.464050164,0.000239824,adenosylhomocysteinase,Up
CD80,3.051485656,0.001893455,CD80 molecule,Up
H2AC12,1.694810727,0.000469345,H2A clustered histone 12,Up
PDLIM2,-1.561864699,0.000340508,PDZ and LIM domain 2,Down
ROGDI,-1.462668732,0.000248329,rogdi atypical leucine zipper,Down
NOX1,1.766080224,0.000565072,NADPH oxidase 1,Up
H2BC8,1.578256807,0.000361041,H2B clustered histone 8,Up
CLCNKB,-3.024386062,0.001901294,chloride voltage-gated channel Kb,Down
CBX3,1.379734249,0.000183446,chromobox 3,Up
KANK2,-2.65101901,0.001573748,KN motif and ankyrin repeat domains 2,Down
PLAAT4,-1.606236764,0.000399055,phospholipase A and acyltransferase 4,Down
GINS2,1.750841398,0.000568159,GINS complex subunit 2,Up
FKBP5,-1.450037647,0.000252143,FKBP prolyl isomerase 5,Down
ASXL3,-2.836539911,0.001777181,ASXL transcriptional regulator 3,Down
KLHL35,2.439972383,0.001386259,kelch like family member 35,Up
SPTBN4,-2.813531306,0.001759285,"spectrin beta, non-erythrocytic 4",Down
ARHGEF37,-1.737947163,0.000565737,Rho guanine nucleotide exchange factor 37,Down
ZNF229,-3.071438774,0.001992135,zinc finger protein 229,Down
FLRT1,-2.923164201,0.00187126,fibronectin leucine rich transmembrane protein 1,Down
ASAP3,-1.506399041,0.000322993,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3",Down
GALNT6,1.674684235,0.000507054,polypeptide N-acetylgalactosaminyltransferase 6,Up
UBE2S,1.467976185,0.000287814,ubiquitin conjugating enzyme E2 S,Up
CHD5,-2.942983251,0.001905603,chromodomain helicase DNA binding protein 5,Down
ECI2,-1.598627738,0.000426427,enoyl-CoA delta isomerase 2,Down
ONECUT2,2.986072885,0.001954926,one cut homeobox 2,Up
GLIPR2,-1.959011173,0.000880629,GLI pathogenesis related 2,Down
RAE1,1.516502264,0.00035584,ribonucleic acid export 1,Up
TMEM92,1.730323558,0.000610008,transmembrane protein 92,Up
RFC4,1.405237852,0.000250554,replication factor C subunit 4,Up
PLK4,1.562632992,0.000419214,polo like kinase 4,Up
SMPD1,-1.359903676,0.000215082,sphingomyelin phosphodiesterase 1,Down
RTKN2,1.742729946,0.000638727,rhotekin 2,Up
PPAT,1.524346247,0.000381725,phosphoribosyl pyrophosphate amidotransferase,Up
SLC25A4,-1.739179311,0.000640128,solute carrier family 25 member 4,Down
MYORG,-1.443827279,0.000298926,myogenesis regulating glycosidase (putative),Down
SRI,-1.429306087,0.000286101,sorcin,Down
KIF20A,2.157953754,0.001171463,kinesin family member 20A,Up
MRGBP,1.552517161,0.000419128,MRG domain binding protein,Up
STIL,1.429673828,0.000290881,STIL centriolar assembly protein,Up
SLC25A20,-1.371032239,0.000234063,solute carrier family 25 member 20,Down
CAMK2D,-1.501567205,0.000370734,calcium/calmodulin dependent protein kinase II delta,Down
SLC16A7,-2.478805247,0.001565038,solute carrier family 16 member 7,Down
CENPI,1.669851775,0.000572394,centromere protein I,Up
BORA,1.647139681,0.000550303,BORA aurora kinase A activator,Up
PLAGL2,1.425008482,0.00029567,PLAG1 like zinc finger 2,Up
DENND2B,-1.482761391,0.000359497,DENN domain containing 2B,Down
NR3C2,-2.878654657,0.001979643,nuclear receptor subfamily 3 group C member 2,Down
GPLD1,-1.829689749,0.000789523,glycosylphosphatidylinositol specific phospholipase D1,Down
SLC6A8,-1.55703966,0.000447439,solute carrier family 6 member 8,Down
SULT1C2,2.663861394,0.001790096,sulfotransferase family 1C member 2,Up
RPGRIP1L,1.514761886,0.000406882,RPGRIP1 like,Up
METTL24,-2.250702806,0.001345596,methyltransferase like 24,Down
FABP1,-2.303461775,0.001412941,fatty acid binding protein 1,Down
SHROOM4,1.56791173,0.000476134,shroom family member 4,Up
CMSS1,1.466992416,0.000358313,cms1 ribosomal small subunit homolog,Up
RACGAP1,1.371953996,0.000258043,Rac GTPase activating protein 1,Up
TMEM35A,-3.035105553,0.002157993,transmembrane protein 35A,Down
TINCR,-2.519808241,0.001678763,TINCR ubiquitin domain containing,Down
ST8SIA1,-2.076762995,0.001162365,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1",Down
VIT,-2.307020512,0.00145123,vitrin,Down
KANK3,-2.216128502,0.001345245,KN motif and ankyrin repeat domains 3,Down
ETHE1,-1.503941841,0.000425951,ETHE1 persulfide dioxygenase,Down
EEF1A2,-2.27688567,0.0014354,eukaryotic translation elongation factor 1 alpha 2,Down
TUB,-2.286766693,0.001452377,TUB bipartite transcription factor,Down
CHST5,-3.092262338,0.002246139,carbohydrate sulfotransferase 5,Down
CCNJL,-1.580661854,0.000530145,cyclin J like,Down
PAPSS2,-1.618352556,0.000583572,3'-phosphoadenosine 5'-phosphosulfate synthase 2,Down
TNNI2,2.744684382,0.001965881,"troponin I2, fast skeletal type",Up
E2F1,1.566667914,0.000524402,E2F transcription factor 1,Up
ETV7,1.708405994,0.000716231,ETS variant transcription factor 7,Up
ARHGEF19,1.490241517,0.000436385,Rho guanine nucleotide exchange factor 19,Up
ARRB1,-1.328471811,0.000255598,arrestin beta 1,Down
CDKN1A,-1.480544932,0.000434703,cyclin dependent kinase inhibitor 1A,Down
H3C2,1.600868518,0.000590837,H3 clustered histone 2,Up
ASB9,1.891043268,0.00099187,ankyrin repeat and SOCS box containing 9,Up
KIF23,1.463914705,0.000417208,kinesin family member 23,Up
SPART,-1.785163986,0.000850142,spartin,Down
ACO2,-1.348862704,0.000286494,aconitase 2,Down
PPP2CB,-1.209820922,0.000155405,protein phosphatase 2 catalytic subunit beta,Down
SPIN3,1.573215615,0.000564534,spindlin family member 3,Up
UTP14A,1.420029822,0.000371815,UTP14A small subunit processome component,Up
CCL4L2,1.995529047,0.001162513,C-C motif chemokine ligand 4 like 2,Up
ATOH8,-1.903965777,0.001040797,atonal bHLH transcription factor 8,Down
CARD14,2.563406703,0.00186697,caspase recruitment domain family member 14,Up
CPT1A,-1.332344705,0.0002857,carnitine palmitoyltransferase 1A,Down
NMU,3.551574344,0.00266403,neuromedin U,Up
ESCO2,1.575138618,0.000597737,establishment of sister chromatid cohesion N-acetyltransferase 2,Up
HSPE1,1.334413188,0.000294153,heat shock protein family E (Hsp10) member 1,Up
ACAT1,-1.455775805,0.000443549,acetyl-CoA acetyltransferase 1,Down
SPPL2A,-1.379901224,0.000361263,signal peptide peptidase like 2A,Down
C1QTNF2,-1.901688811,0.001087799,C1q and TNF related 2,Down
PLSCR4,-1.325318753,0.000300685,phospholipid scramblase 4,Down
CCL3,1.849548119,0.001022178,C-C motif chemokine ligand 3,Up
AMN,-1.652735075,0.000745725,amnion associated transmembrane protein,Down
APBA1,-1.71085524,0.000830478,amyloid beta precursor protein binding family A member 1,Down
FFAR4,-1.923046233,0.001143322,free fatty acid receptor 4,Down
SLC9A9,-1.644275763,0.000743502,solute carrier family 9 member A9,Down
GKAP1,-1.52521949,0.000573943,G kinase anchoring protein 1,Down
WNT5B,-1.861424017,0.001073364,Wnt family member 5B,Down
FAM161B,-1.460243864,0.000495548,FAM161 centrosomal protein B,Down
CENPH,1.649137222,0.00076848,centromere protein H,Up
PKIG,-1.445215205,0.000481821,cAMP-dependent protein kinase inhibitor gamma,Down
NANP,1.438998767,0.000474509,N-acetylneuraminic acid phosphatase,Up
S100P,2.356243553,0.001758394,S100 calcium binding protein P,Up
ORM1,2.39526628,0.001808495,orosomucoid 1,Up
SLAIN1,-1.799013774,0.001003182,SLAIN motif family member 1,Down
ANKRD22,1.559085858,0.000647256,ankyrin repeat domain 22,Up
ABLIM3,-1.581435461,0.000685009,actin binding LIM protein family member 3,Down
XPOT,1.391816618,0.000423453,exportin for tRNA,Up
SCARA3,-1.689938616,0.000869587,scavenger receptor class A member 3,Down
GDPD5,1.695192259,0.000882538,glycerophosphodiester phosphodiesterase domain containing 5,Up
CPT2,-1.319750528,0.000345208,carnitine palmitoyltransferase 2,Down
PODNL1,1.76411127,0.00099156,podocan like 1,Up
REEP2,-2.557946726,0.002041694,receptor accessory protein 2,Down
ATP1A2,-5.787148223,0.003501953,ATPase Na+/K+ transporting subunit alpha 2,Down
PGGHG,1.586390577,0.000734793,protein-glucosylgalactosylhydroxylysine glucosidase,Up
ITPR1,-1.555536449,0.000688471,"inositol 1,4,5-trisphosphate receptor type 1",Down
ITLN1,-3.452278223,0.002774424,intelectin 1,Down
RPL22L1,1.595060775,0.000751793,ribosomal protein L22 like 1,Up
WDR17,-2.579336814,0.002089372,WD repeat domain 17,Down
ITGA8,-1.492259041,0.000603342,integrin subunit alpha 8,Down
MAST2,-1.276860658,0.000311145,microtubule associated serine/threonine kinase 2,Down
SMIM6,-2.375562271,0.001875268,small integral membrane protein 6,Down
PPM1L,-1.460651787,0.000565328,"protein phosphatase, Mg2+/Mn2+ dependent 1L",Down
CBFA2T3,-1.674711707,0.000897737,CBFA2/RUNX1 partner transcriptional co-repressor 3,Down
GRM8,3.107116248,0.00258408,glutamate metabotropic receptor 8,Up
FBLIM1,-1.394008463,0.000478064,filamin binding LIM protein 1,Down
IFFO1,-1.487809061,0.000624284,intermediate filament family orphan 1,Down
RTL5,-2.138423589,0.001609883,retrotransposon Gag like 5,Down
KIAA1614,-1.697501124,0.00096644,KIAA1614,Down
E2F5,1.560360705,0.000750374,E2F transcription factor 5,Up
CASZ1,-1.412349376,0.000531647,castor zinc finger 1,Down
GGCT,1.388880743,0.000499846,gamma-glutamylcyclotransferase,Up
RLIG1,1.384887172,0.000497637,RNA 5'-phosphate and 3'-OH ligase 1,Up
OSBPL1A,-1.851537712,0.001229658,oxysterol binding protein like 1A,Down
MTARC2,-1.419650438,0.000558241,mitochondrial amidoxime reducing component 2,Down
FANCD2OS,1.61514855,0.000866704,FANCD2 opposite strand,Up
SUGCT,-1.764689827,0.001114814,succinyl-CoA:glutarate-CoA transferase,Down
RIMS1,-2.521741655,0.002145505,regulating synaptic membrane exocytosis 1,Down
MST1,1.532557366,0.00075269,macrophage stimulating 1,Up
DDX31,1.290444243,0.00038779,DEAD-box helicase 31,Up
CEACAM1,-1.767849402,0.00113727,CEA cell adhesion molecule 1,Down
BTG2,-1.594884186,0.000857243,BTG anti-proliferation factor 2,Down
TMTC4,1.375695849,0.000513408,transmembrane O-mannosyltransferase targeting cadherins 4,Up
MTBP,1.642552753,0.000952521,MDM2 binding protein,Up
DSEL,-2.082746172,0.001636062,dermatan sulfate epimerase like,Down
EBPL,1.443748701,0.000631411,EBP like,Up
CRYAB,-3.19297264,0.002763811,crystallin alpha B,Down
KCNH8,2.747053922,0.002410309,potassium voltage-gated channel subfamily H member 8,Up
POU6F1,-1.554069574,0.000812375,POU class 6 homeobox 1,Down
ATG4D,-1.385099247,0.000555351,autophagy related 4D cysteine peptidase,Down
VCL,-2.71310204,0.002409274,vinculin,Down
MYC,1.560274065,0.000843213,"MYC proto-oncogene, bHLH transcription factor",Up
CYP2B6,1.800155258,0.001240305,cytochrome P450 family 2 subfamily B member 6,Up
ADGRG1,1.465398905,0.000690538,adhesion G protein-coupled receptor G1,Up
VAT1L,-2.271971478,0.001940598,vesicle amine transport 1 like,Down
SOX5,-2.063214949,0.001669158,SRY-box transcription factor 5,Down
LIMA1,-1.328371826,0.000488215,LIM domain and actin binding 1,Down
BTC,-1.65265538,0.001027642,betacellulin,Down
PTGER4,-1.592110967,0.000946865,prostaglandin E receptor 4,Down
SPIN4,1.667966018,0.00108079,spindlin family member 4,Up
FECH,-1.469387243,0.000750855,ferrochelatase,Down
LFNG,1.257689744,0.000413829,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,Up
SOCS2,-1.501935537,0.000815897,suppressor of cytokine signaling 2,Down
SHE,-1.532373886,0.000870374,Src homology 2 domain containing E,Down
TMPO,1.313681644,0.000506379,thymopoietin,Up
MAPK4,-2.814928284,0.00259941,mitogen-activated protein kinase 4,Down
BCL2,-1.590440105,0.00098394,BCL2 apoptosis regulator,Down
VILL,-1.378635004,0.000621409,villin like,Down
BMAL2,1.512117616,0.000859665,basic helix-loop-helix ARNT like 2,Up
ORC6,2.717127374,0.002542023,origin recognition complex subunit 6,Up
EDNRA,1.583854326,0.00099963,endothelin receptor type A,Up
CCL11,-1.969146717,0.001648413,C-C motif chemokine ligand 11,Down
FUCA1,-1.411847453,0.000705349,alpha-L-fucosidase 1,Down
PLEKHH2,-1.59503047,0.001029688,"pleckstrin homology, MyTH4 and FERM domain containing H2",Down
CBX8,1.488571899,0.000846,chromobox 8,Up
PTPRM,-1.445565651,0.000775271,protein tyrosine phosphatase receptor type M,Down
AFF1,-1.268814277,0.000477641,ALF transcription elongation factor 1,Down
MAT1A,3.320680206,0.003030431,methionine adenosyltransferase 1A,Up
LIPG,1.628424554,0.001112603,"lipase G, endothelial type",Up
TSHZ1,-1.383331884,0.000690104,teashirt zinc finger homeobox 1,Down
DAPK1,-1.569922014,0.001025486,death associated protein kinase 1,Down
TF,-2.537643012,0.002438637,transferrin,Down
NCR3LG1,1.393128678,0.000724052,natural killer cell cytotoxicity receptor 3 ligand 1,Up
ZSWIM4,1.48184734,0.000883811,zinc finger SWIM-type containing 4,Up
HBD,-1.925932492,0.001655418,hemoglobin subunit delta,Down
SNX20,1.695815021,0.00127396,sorting nexin 20,Up
RETREG1,-1.616938258,0.00113637,reticulophagy regulator 1,Down
KPNA2,1.404603001,0.000754534,karyopherin subunit alpha 2,Up
NIFK,1.248389324,0.000486125,nucleolar protein interacting with the FHA domain of MKI67,Up
H3C11,1.742059328,0.001381462,H3 clustered histone 11,Up
GNAQ,-1.305183393,0.000594541,G protein subunit alpha q,Down
UBE2T,1.731857081,0.001369307,ubiquitin conjugating enzyme E2 T,Up
RHBDF2,1.553572062,0.001048444,rhomboid 5 homolog 2,Up
ARHGAP11A,1.884154963,0.001628568,Rho GTPase activating protein 11A,Up
ZEB2,-1.497370354,0.00094625,zinc finger E-box binding homeobox 2,Down
C4BPA,2.797541306,0.002753918,complement component 4 binding protein alpha,Up
KNTC1,1.540499454,0.001049015,kinetochore associated 1,Up
PDZD7,1.942032093,0.001754676,PDZ domain containing 7,Up
TLN1,-1.442118606,0.000871611,talin 1,Down
WDR62,1.667643981,0.001292089,WD repeat domain 62,Up
CHAF1B,1.45864496,0.000911308,chromatin assembly factor 1 subunit B,Up
USP17L11,1.961781265,0.001804666,ubiquitin specific peptidase 17 like family member 11,Up
IL6ST,-1.194644349,0.000442479,interleukin 6 cytokine family signal transducer,Down
NIT2,1.313762147,0.000649865,nitrilase family member 2,Up
JADE3,1.417980399,0.000844784,jade family PHD finger 3,Up
ZWINT,1.369307409,0.000754735,ZW10 interacting kinetochore protein,Up
KCTD9,-1.434152837,0.000877148,potassium channel tetramerization domain containing 9,Down
RET,-2.292178443,0.002299043,ret proto-oncogene,Down
DPM1,1.226452357,0.000514521,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic",Up
TEX30,1.629734267,0.001271747,testis expressed 30,Up
PAQR5,-1.486616058,0.001014608,progestin and adipoQ receptor family member 5,Down
NDRG2,-1.429250657,0.000914712,NDRG family member 2,Down
GABARAPL1,-1.388564511,0.000836392,GABA type A receptor associated protein like 1,Down
RTEL1-TNFRSF6B,1.472043483,0.000998436,RTEL1-TNFRSF6B readthrough (NMD candidate),Up
LRRC36,2.83133867,0.002890743,leucine rich repeat containing 36,Up
LRFN5,-2.027507398,0.001979472,leucine rich repeat and fibronectin type III domain containing 5,Down
MFN2,-1.124430873,0.000364854,mitofusin 2,Down
EXOSC5,1.347509731,0.000760765,exosome component 5,Up
SAMD9,-1.535063138,0.00112601,sterile alpha motif domain containing 9,Down
POC1A,1.316335609,0.000717018,POC1 centriolar protein A,Up
TNC,-2.437974314,0.002544953,tenascin C,Down
PLA2G7,1.715096889,0.001494416,phospholipase A2 group VII,Up
CEP85L,-1.446921822,0.000986519,centrosomal protein 85 like,Down
PPA1,1.290380515,0.000681997,inorganic pyrophosphatase 1,Up
ZC3HAV1L,1.436638929,0.00096866,"zinc finger CCCH-type containing, antiviral 1 like",Up
DUSP15,3.103881395,0.003142671,dual specificity phosphatase 15,Up
ZCCHC24,-1.850275839,0.001746019,zinc finger CCHC-type containing 24,Down
JUND,-1.380268655,0.000860563,"JunD proto-oncogene, AP-1 transcription factor subunit",Down
NR0B2,2.440232471,0.002582313,nuclear receptor subfamily 0 group B member 2,Up
MAOB,-3.344818136,0.00330682,monoamine oxidase B,Down
RELN,-2.640931873,0.002795808,reelin,Down
ZNF853,-1.726377351,0.001548803,zinc finger protein 853,Down
PDRG1,1.408704379,0.00093548,p53 and DNA damage regulated 1,Up
PUS1,1.323252657,0.000768699,pseudouridine synthase 1,Up
AIM2,2.534494794,0.002707034,absent in melanoma 2,Up
RIPK2,1.53738923,0.001210499,receptor interacting serine/threonine kinase 2,Up
KCNA2,-2.506715151,0.002697263,potassium voltage-gated channel subfamily A member 2,Down
SPECC1L,-1.265913633,0.000684652,sperm antigen with calponin homology and coiled-coil domains 1 like,Down
ITPKA,-1.558716493,0.001273742,inositol-trisphosphate 3-kinase A,Down
ZSCAN18,-1.428063084,0.001014867,zinc finger and SCAN domain containing 18,Down
KLF2,-1.685387618,0.001536189,KLF transcription factor 2,Down
SLC11A2,1.413750036,0.000997756,solute carrier family 11 member 2,Up
SRPX,-3.095648843,0.003214914,sushi repeat containing protein X-linked,Down
EGR1,-1.635627975,0.001455554,early growth response 1,Down
PPARGC1A,-2.17018965,0.002345638,PPARG coactivator 1 alpha,Down
PBX1,-1.500133433,0.001196816,PBX homeobox 1,Down
MOB3B,-1.291152507,0.000773243,MOB kinase activator 3B,Down
ACOX1,-1.371133173,0.000940258,acyl-CoA oxidase 1,Down
PDCD2L,1.395083056,0.000990788,programmed cell death 2 like,Up
PMCH,2.573433692,0.002850993,pro-melanin concentrating hormone,Up
HOXB9,1.608564085,0.001442556,homeobox B9,Up
SPAG4,1.529804177,0.00128436,sperm associated antigen 4,Up
FAM110B,-2.933402249,0.003159796,family with sequence similarity 110 member B,Down
UTP25,1.223896184,0.000660204,UTP25 small subunit processome component,Up
ZNF117,1.485807755,0.00120299,zinc finger protein 117,Up
DUS4L,1.622019976,0.001485223,dihydrouridine synthase 4 like,Up
TLCD2,-1.628179355,0.001500458,TLC domain containing 2,Down
LRRK2,-1.477923052,0.001202422,leucine rich repeat kinase 2,Down
CD46,1.287732701,0.00081144,CD46 molecule,Up
RAB3A,-1.534244931,0.001331894,"RAB3A, member RAS oncogene family",Down
OCEL1,-1.35294762,0.000952834,occludin/ELL domain containing 1,Down
NCAPG2,1.351026248,0.000951818,non-SMC condensin II complex subunit G2,Up
THEM5,2.819301501,0.00311976,thioesterase superfamily member 5,Up
PNPLA7,-1.877158868,0.001994858,patatin like phospholipase domain containing 7,Down
TSC22D3,-1.45414137,0.001176955,TSC22 domain family member 3,Down
WDR12,1.253914963,0.000754054,WD repeat domain 12,Up
H3C7,1.624722985,0.001535762,H3 clustered histone 7,Up
CLCN2,-1.28811143,0.000834002,chloride voltage-gated channel 2,Down
ITIH5,-2.782385747,0.003113939,inter-alpha-trypsin inhibitor heavy chain 5,Down
FANCI,1.562286323,0.001421175,FA complementation group I,Up
CPEB3,-1.407222013,0.001094519,cytoplasmic polyadenylation element binding protein 3,Down
LMNB1,1.327098304,0.000970126,lamin B1,Up
RNASEH2A,1.389721298,0.001114271,ribonuclease H2 subunit A,Up
SLC9A2,-2.030471032,0.002328594,solute carrier family 9 member A2,Down
SLC28A3,2.489022033,0.002905862,solute carrier family 28 member 3,Up
QPRT,1.511213291,0.001379875,quinolinate phosphoribosyltransferase,Up
ITPKB,-1.519377725,0.001401885,inositol-trisphosphate 3-kinase B,Down
ZEB1,-2.28937165,0.002714014,zinc finger E-box binding homeobox 1,Down
MPI,-1.351149915,0.00106223,mannose phosphate isomerase,Down
VENTX,2.11520202,0.00249409,VENT homeobox,Up
CYP4F3,1.400906282,0.00117589,cytochrome P450 family 4 subfamily F member 3,Up
CHMP4C,1.462355922,0.001324411,charged multivesicular body protein 4C,Up
EPHA1,1.473934071,0.001350044,EPH receptor A1,Up
FANCD2,1.44409231,0.001287532,FA complementation group D2,Up
HMGB3,1.373318994,0.001133859,high mobility group box 3,Up
PPM1N,1.730905782,0.001890273,"protein phosphatase, Mg2+/Mn2+ dependent 1N (putative)",Up
MAN1C1,-1.571954733,0.001574415,mannosidase alpha class 1C member 1,Down
ATIC,1.207631301,0.000768852,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,Up
